college_tier,placement_status,salary_package_lpa,salary_available,tech_skill,soft_skill,practical_skill,cgpa_scaled,backlogs_scaled,academic_points,branch_CSE,branch_Chemical,branch_ECE,branch_EE,branch_IT,branch_ME
3,1,14.75,1,0.5249768518518518,0.3166666666666666,0.7833333333333332,0.45,0.0,0.615,0,0,1,0,0,0
2,0,,0,0.4542592592592592,0.4055555555555555,0.2,0.2833333333333333,0.0,0.4983333333333333,0,1,0,0,0,0
2,1,19.06,1,0.5590509259259259,0.3555555555555555,0.5666666666666667,0.5316666666666666,0.0,0.6721666666666666,0,0,0,1,0,0
2,0,,0,0.4308333333333333,0.2222222222222222,0.2833333333333333,0.4133333333333334,0.0,0.5893333333333334,0,0,0,0,0,0
2,1,13.42,1,0.3367592592592593,0.35,0.4333333333333333,0.4516666666666665,0.3333333333333333,0.5161666666666666,1,0,0,0,0,0
3,1,16.47,1,0.5896990740740741,0.3888888888888889,0.4833333333333333,0.3683333333333333,0.3333333333333333,0.4578333333333333,1,0,0,0,0,0
3,1,16.51,1,0.4529398148148147,0.8166666666666667,0.5,0.6516666666666667,0.0,0.7561666666666667,1,0,0,0,0,0
3,0,,0,0.4595370370370371,0.2499999999999999,0.3916666666666666,0.4916666666666666,0.0,0.6441666666666666,0,0,0,0,1,0
2,1,13.49,1,0.332662037037037,0.4666666666666667,0.4833333333333333,0.505,0.0,0.6535,0,0,0,0,0,0
2,1,17.95,1,0.5273148148148148,0.2722222222222222,0.2666666666666666,0.5566666666666665,1.0,0.3896666666666665,0,0,0,1,0,0
1,1,19.63,1,0.5256944444444445,0.2333333333333333,0.2583333333333333,0.5199999999999999,0.0,0.6639999999999999,1,0,0,0,0,0
3,1,20.38,1,0.6183333333333334,0.4999999999999999,0.3583333333333333,0.3399999999999999,0.0,0.5379999999999999,0,1,0,0,0,0
2,1,21.08,1,0.5076157407407408,0.4944444444444444,0.4833333333333333,0.5266666666666667,0.6666666666666666,0.4686666666666667,0,0,0,0,1,0
2,1,20.26,1,0.4799537037037037,0.2722222222222222,0.85,0.3566666666666666,0.0,0.5496666666666665,1,0,0,0,0,0
2,1,15.68,1,0.426412037037037,0.2944444444444444,0.35,0.6116666666666667,1.0,0.4281666666666666,1,0,0,0,0,0
3,0,,0,0.5035185185185186,0.6,0.3416666666666666,0.5616666666666666,0.6666666666666666,0.4931666666666666,1,0,0,0,0,0
2,1,13.91,1,0.4441203703703704,0.3055555555555555,0.2,0.36,0.3333333333333333,0.452,0,0,1,0,0,0
2,0,,0,0.4755092592592593,0.4222222222222221,0.2833333333333333,0.3733333333333334,0.0,0.5613333333333334,0,0,0,0,0,0
2,1,14.58,1,0.5450462962962964,0.3388888888888888,0.2333333333333333,0.4700000000000001,0.3333333333333333,0.529,0,0,0,0,0,1
2,1,17.51,1,0.5001157407407407,0.6055555555555556,0.1833333333333333,0.7799999999999999,0.3333333333333333,0.746,0,0,1,0,0,0
3,1,19.51,1,0.5096759259259259,0.0666666666666666,0.6583333333333332,0.4916666666666666,0.0,0.6441666666666666,0,0,0,0,0,0
2,0,,0,0.5280555555555556,0.3944444444444444,0.5166666666666666,0.62,0.0,0.734,1,0,0,0,0,0
3,0,,0,0.4165972222222222,0.5999999999999999,0.25,0.1416666666666666,0.0,0.3991666666666666,0,0,1,0,0,0
3,1,15.89,1,0.6318981481481482,0.2166666666666667,0.35,0.3633333333333332,0.3333333333333333,0.4543333333333332,0,0,1,0,0,0
1,0,,0,0.4060416666666666,0.4222222222222221,0.3083333333333333,0.6349999999999999,1.0,0.4444999999999999,0,0,0,0,0,1
2,1,19.6,1,0.4631018518518519,0.3666666666666666,0.1333333333333333,0.7466666666666667,0.0,0.8226666666666667,0,0,0,0,1,0
1,1,22.55,1,0.5014583333333335,0.8444444444444444,0.4333333333333333,0.805,0.0,0.8634999999999999,1,0,0,0,0,0
3,0,,0,0.4670138888888889,0.5,0.3166666666666666,0.5583333333333332,0.0,0.6908333333333332,0,0,0,0,0,1
2,1,20.76,1,0.555625,0.3666666666666666,0.3166666666666666,0.7816666666666666,0.0,0.8471666666666666,0,0,0,0,0,0
2,1,20.47,1,0.5141435185185185,0.3222222222222222,0.6333333333333333,0.8433333333333334,0.0,0.8903333333333334,1,0,0,0,0,0
3,0,,0,0.3924074074074075,0.5666666666666667,0.3166666666666666,0.4833333333333333,0.0,0.6383333333333332,0,0,0,0,0,0
2,1,18.6,1,0.4397453703703703,0.3277777777777778,0.2333333333333333,0.6616666666666665,0.6666666666666666,0.5631666666666665,1,0,0,0,0,0
3,0,,0,0.3997685185185185,0.8055555555555556,0.4,0.2999999999999999,0.6666666666666666,0.3099999999999999,1,0,0,0,0,0
3,1,14.66,1,0.4737268518518518,0.4277777777777777,0.3083333333333333,0.7316666666666668,0.0,0.8121666666666667,0,1,0,0,0,0
3,0,,0,0.5504861111111111,0.6722222222222222,0.3,0.6333333333333332,0.0,0.7433333333333332,0,1,0,0,0,0
1,1,19.6,1,0.5237499999999999,0.3777777777777777,0.2333333333333333,0.7066666666666667,0.0,0.7946666666666666,0,0,0,0,1,0
1,1,20.2,1,0.5189120370370371,0.2833333333333333,0.3166666666666666,0.6,0.0,0.72,0,0,1,0,0,0
3,1,17.96,1,0.5114814814814815,0.4499999999999999,0.6083333333333334,0.6583333333333333,0.0,0.7608333333333333,1,0,0,0,0,0
3,1,13.65,1,0.4935648148148148,0.3444444444444444,0.1333333333333333,0.65,0.3333333333333333,0.655,0,0,0,1,0,0
2,0,,0,0.4920833333333334,0.6388888888888888,0.1,0.4116666666666665,0.0,0.5881666666666665,0,0,0,0,0,1
2,1,18.94,1,0.46875,0.6944444444444444,0.475,0.5816666666666667,0.6666666666666666,0.5071666666666667,1,0,0,0,0,0
